标题： 怀旧魔兽猫盒子【官方怀旧版】 - 只为怀旧Wower var0.14.5 	 链接： http://60addons.com//bbs/new/topic/1640-1 	 下载次数： 7 
标题： Questie 任务助手 v5.9.0 	 链接： http://60addons.com//bbs/new/topic/1738-1 	 下载次数： 6 
标题： ClassicCodex [原pfQuest]强大的全能型任务数据库 v1.3.9 ala深度精简 	 链接： http://60addons.com//bbs/new/topic/1626-1 	 下载次数： 5 
标题： WebDKP Classic - 60年代最好用的DKP管理插件(附教程) v13.9 	 链接： http://60addons.com//bbs/new/topic/1790-1 	 下载次数： 1 
标题： Guidelime 【新手福音】保姆式高定制任务升级导航插件 v1.037 	 链接： http://60addons.com//bbs/new/topic/1639-1 	 下载次数： 2 
标题： BestInSlotClassic - BIS 全职业全天赋全阶段BIS装备查看 v2.3 	 链接： http://60addons.com//bbs/new/topic/2069-1 	 下载次数： 2 
标题： 【整合】DestinyUI for Classic v2.8.6精简版 	 链接： http://60addons.com//bbs/new/topic/1660-1 	 下载次数： 1 
标题： DBM - classic 团本首领警报 (内含全部第三方全音效支持包及战场PVP模块) 1.13.41 	 链接： http://60addons.com//bbs/new/topic/1420-1 	 下载次数： 3 
标题： ElvUI - 知名ui套件 v1.24 [含各种第三方模块&UI下载] Classic 	 链接： http://60addons.com//bbs/new/topic/1628-1 	 下载次数： 2 
标题： ModernTargetFrame 目标头像状态增强 v1.3.1 	 链接： http://60addons.com//bbs/new/topic/2067-1 	 下载次数： 2 
标题： PhantomPlates 极简默认姓名板显血/仇恨增强 v1.2.1 	 链接： http://60addons.com//bbs/new/topic/2068-1 	 下载次数： 2 
标题： Pawn 装备属性权重比较 v2.3.24 	 链接： http://60addons.com//bbs/new/topic/1897-1 	 下载次数： 1 
标题： ClassicCastbars 目标框架/姓名板施法条 v1.3.0 	 链接： http://60addons.com//bbs/new/topic/1416-1 	 下载次数： 2 
标题： HealBot 强大的治疗助手及治疗框架 v1.13.4.1-classic 	 链接： http://60addons.com//bbs/new/topic/1648-1 	 下载次数： 2 
标题： MissingTradeSkillsList 缺失配方查询 v1.13.40 	 链接： http://60addons.com//bbs/new/topic/1875-1 	 下载次数： 2 
标题： !BlizzardRaidFramesFix 暴雪团队框修复 v1.2.19 	 链接： http://60addons.com//bbs/new/topic/2058-1 	 下载次数： 2 
