标题： 【生活大爆炸】完整1-12季，已整理好，dd秒回要的来 很棒 	 链接：http://tieba.baidu.com//p/7200473091 	 发帖人：波克比 	 发帖时间：1-21 	 回复数量： 68 
标题： 为什么谢尔顿那么讨厌莱纳得还和他住在一起？ 	 链接：http://tieba.baidu.com//p/5017387510 	 发帖人：絮灵儿 	 发帖时间：2017-03 	 回复数量： 41 
标题： 请教各位～ 	 链接：http://tieba.baidu.com//p/7205414860 	 发帖人：小饼干是... 	 发帖时间：1-25 	 回复数量： 5 
标题： 好像莱纳德啊 	 链接：http://tieba.baidu.com//p/7188966533 	 发帖人：百惠传说 	 发帖时间：1-11 	 回复数量： 1 
标题： 现在在看第八季，感觉笑点没有之前有意思了，是不是后面部分质量 	 链接：http://tieba.baidu.com//p/7196401568 	 发帖人：潇湘夜雨 	 发帖时间：1-18 	 回复数量： 2 
标题： 终于找到谢尔顿他们竞选终身教授的结局了 	 链接：http://tieba.baidu.com//p/6276821435 	 发帖人：贫乏姐妹... 	 发帖时间：2019-09 	 回复数量： 7 
标题： 大家觉得小谢尔顿能拍到多少季？ 	 链接：http://tieba.baidu.com//p/5861982673 	 发帖人：耳朵Moonpie 	 发帖时间：2018-08 	 回复数量： 21 
标题： 实业报国，荣盛发展的多方位回馈社会一览 	 链接：http://tieba.baidu.com//p/7204242374 	 发帖人：山寺桃花 	 发帖时间：1-24 	 回复数量： 6 
标题： 谢耳朵的手表是牌子的呀 	 链接：http://tieba.baidu.com//p/7205629095 	 发帖人：爱迪生爱... 	 发帖时间：1-25 	 回复数量： 0 
标题： 只有我一个很烦罐头笑声吗 	 链接：http://tieba.baidu.com//p/7173494227 	 发帖人：百惠传说 	 发帖时间：2020-12 	 回复数量： 3 
标题： 有没有熟悉美国公用洗衣房的，进来八一八！ 	 链接：http://tieba.baidu.com//p/3501145082 	 发帖人：EVE的大灰灰 	 发帖时间：2015-01 	 回复数量： 79 
标题： 生活大爆炸各类Q图 	 链接：http://tieba.baidu.com//p/1271829017 	 发帖人：wuyahanannie 	 发帖时间：2013-10 	 回复数量： 561 
标题： 《生活大爆炸》主创专访 	 链接：http://tieba.baidu.com//p/5987813784 	 发帖人：威武的小... 	 发帖时间：2018-12 	 回复数量： 28 
标题： 一起来涨姿势吧，生活大爆炸每一集知识详解 	 链接：http://tieba.baidu.com//p/4664329650 	 发帖人：幽寒淡冷 	 发帖时间：2016-07 	 回复数量： 887 
标题： 霍华德家足够支撑一部衍生剧吗？ 	 链接：http://tieba.baidu.com//p/5895984911 	 发帖人：喝着菊花... 	 发帖时间：2018-09 	 回复数量： 16 
标题： 因为amy看的有点别扭，唉，换一个人该多好啊 	 链接：http://tieba.baidu.com//p/7162072827 	 发帖人：云中君的... 	 发帖时间：2020-12 	 回复数量： 12 
